Sentence,Corrected Sentence,Translation,Student_Emotion,Pipeline_Emotion,Core_Pipeline_Emotion,Corrected_Emotion
Ik zal het spannend houden en de andere koffer nemen.,Ik zal het spannend houden en de andere koffer nemen.,I'll keep it exciting and take the other suitcase.,happiness,excitement,happiness,happiness
Ik gun ook een ander zijn koffer.,Ik gun ook een ander zijn koffer.,I also give someone else's suitcase.,neutral,surprise,surprise,neutral
"Maar ja, ik wil toch het liefst mijn eigen koffer.","Maar ja, ik wil toch het liefst mijn eigen koffer.","But yes, I would prefer my own suitcase.",neutral,desire,happiness,neutral
Het is zover. Tijd om ook deze vijf het huis in te sturen.,Het is zover. Tijd om ook deze vijf het huis in te sturen.,The time has come. Time to send these five into the house as well.,neutral,anticipation,happiness,neutral
"En dan is het huis compleet. Althans, voor nu.","En dan is het huis compleet. Althans, voor nu.","And then the house is complete. At least, for now.",neutral,satisfaction,happiness,neutral
En dus kan Big Brother direct beginnen aan zijn nieuwste experiment.,En dus kan Big Brother direct beginnen aan zijn nieuwste experiment.,And so Big Brother can immediately begin his latest experiment.,neutral,curiosity,neutral,neutral
Wat is Big Brother allemaal van plan? Welke geheimen gaat hij onthullen?,Wat is Big Brother allemaal van plan? Welke geheimen gaat hij onthullen?,What is Big Brother up to? What secrets will he reveal?,surprise,curiosity,neutral,surprise
"En vooral ook, welke niet? Dat gaat nu duidelijk worden.","En vooral ook, welke niet? Dat gaat nu duidelijk worden.","And above all, which ones aren't? That will now become clear.",surprise,curiosity,neutral,surprise
"Bewoners, dit jaar spelen jullie in duo.","Bewoners, dit jaar spelen jullie in duo.","Residents, this year you will be playing in duo.",neutral,surprise,surprise,neutral
"En met wie je een duo vormt, dat heb ik bepaald.","En met wie je een duo vormt, dat heb ik bepaald.",And I have determined who you form a duo with.,neutral,surprise,surprise,surprise
Zometeen komt er een bewoner door de draaideur.,Zometeen komt er een bewoner door de draaideur.,In a moment a resident will come through the revolving door.,neutral,anticipation,happiness,neutral
Als deze een pin draagt met dezelfde kleur als die van jou...,Als deze een pin draagt met dezelfde kleur als die van jou...,If it wears a pin with the same color as yours...,neutral,curiosity,neutral,neutral
Een roze-cinelet.,Een roze zonnebril.,Pink sunglasses.,neutral,neutral,neutral,neutral
...dan is dat je duo-lid.,...dan is dat je duo-lid.,...then that is your duo member.,neutral,realization,surprise,surprise
"Oh, my God.","Oh, my God.","Oh, my God.",surprise,surprise,surprise,surprise
"Waar komt er nu iemand? Nee, toch?","Waar komt er nu iemand? Nee, toch?",Where does anyone come now? Oh no?,surprise,fear,fear,fear
"Ja, ja, ja. Hoezo? Gaat-ie dan?","Ja, ja, ja. Hoezo? Gaat-ie dan?",Yes Yes Yes. How so? Is he okay then?,fear,confusion,sadness,fear
"Ja, ja, ja. Holy shit.","Ja, ja, ja. Holy shit.",And and and. Holy shit.,fear,surprise,surprise,fear
Ik denk... Wie wordt het? Zeg het. Ik denk...,Ik denk... Wie wordt het? Zeg het. Ik denk...,I think... Who will it be? Say it. I think...,fear,anticipation,happiness,fear
Ik denk oranje. Ik denk blauw.,Ik denk oranje. Ik denk blauw.,I think orange. I think blue.,neutral,anticipation,happiness,neutral
"Ik denk een man, ja.","Ik denk een man, ja.","I think a man, yes.",neutral,anticipation,happiness,neutral
Yo.,Yo.,Yo.,neutral,neutral,neutral,neutral
Randy en Lainie.,Randy en Leila.,Randy not Leila.,neutral,disappointment,sadness,neutral
"Hi, Lainie. Toffer.","Hi, Lainie. Toffer.","Hi, Lainie. Toffer.",neutral,joy,happiness,neutral
Jullie vormen het gele duo.,Jullie vormen het gele duo.,You form the yellow duo.,neutral,realization,surprise,neutral
Top. Mooi.,Top. Mooi.,Top. Nice.,happiness,joy,happiness,happiness
Jullie gaan naar de cocoonruimte. Dat is de groene ruimte.,Jullie gaan naar de cocoonruimte. Dat is de groene ruimte.,You go to the cocoon room. That is the green space.,neutral,neutral,neutral,neutral
En jullie leren elkaar daar beter kennen.,En jullie leren elkaar daar beter kennen.,And you get to know each other better there.,neutral,anticipation,happiness,neutral
De barbie room. Hij heeft wel koffer.,De barbie room. Hij heeft wel een koffer.,The barbie room. He does have a suitcase.,neutral,surprise,surprise,neutral
Ja. Hebben jullie geen koffer?,Ja. Hebben jullie geen koffer?,Yes. Don't you have a suitcase?,neutral,confusion,sadness,neutral
Edith?,Edith?,Edith?,neutral,neutral,neutral,neutral
MUZIEK.,MUZIEK.,MUSIC.,neutral,neutral,neutral,neutral
Carlos?,Carlos?,Carlos?,neutral,neutral,neutral,neutral
MUZIEK.,MUZIEK.,MUSIC.,neutral,neutral,neutral,neutral
"Thomas, jij mag gaan stemmen.","Thomas, jij mag gaan stemmen.","Thomas, you can go vote.",neutral,neutral,neutral,neutral
MUZIEK.,MUZIEK.,MUSIC.,neutral,neutral,neutral,neutral
MUZIEK.,MUZIEK.,MUSIC.,neutral,neutral,neutral,neutral
Jullie hebben allemaal gestemd. We gaan kijken op wie.,Jullie hebben allemaal gestemd. We gaan kijken op wie.,You all voted. Let's see who.,neutral,curiosity,neutral,neutral
"En wat ik wil doen, Bertie, je hebt een immuniteitsmunt.","En wat ik wil doen, Bertie, je hebt een immuniteitsmunt.","And what I want to do, Bertie, you have an immunity coin.",neutral,neutral,neutral,neutral
Ga je die inzetten?,Ga je die inzetten?,Are you going to use that?,neutral,curiosity,neutral,neutral
Nee.,Nee.,Nee.,neutral,disappointment,sadness,neutral
We gaan beginnen.,We gaan beginnen.,We are going to start.,neutral,anticipation,happiness,neutral
MUZIEK.,MUZIEK.,MUSIC.,neutral,neutral,neutral,neutral
De eerste stem.,De eerste stem.,The first vote.,neutral,anticipation,happiness,neutral
MUZIEK.,MUZIEK.,MUSIC.,neutral,neutral,neutral,neutral
Christel?,Christel?,Christel?,neutral,surprise,surprise,surprise
MUZIEK.,MUZIEK.,MUSIC.,neutral,neutral,neutral,neutral
De tweede stem.,De tweede stem.,The second voice.,neutral,anticipation,happiness,neutral
MUZIEK.,MUZIEK.,MUSIC.,neutral,neutral,neutral,neutral
Rita.,Rita.,Rita.,neutral,surprise,surprise,neutral
De derde stem.,De derde stem.,The third voice.,neutral,anticipation,happiness,neutral
Christel.,Christel.,Christel.,neutral,neutral,neutral,neutral
Dan gaan we naar de vierde stem.,Dan gaan we naar de vierde stem.,Then we go to the fourth voice.,neutral,anticipation,happiness,neutral
"En die is ook voor jou, Christel.","En die is ook voor jou, Christel.","And that is also in front of you, Christel.",neutral,surprise,surprise,neutral
De vijfde stem.,De vijfde stem.,The fifth voice.,neutral,anticipation,happiness,neutral
Rita.,Rita.,Rita.,neutral,surprise,surprise,neutral
Het zijn drie stemmen voor Christel en twee voor Rita.,Het zijn drie stemmen voor Christel en twee voor Rita.,There are three votes for Christel and two for Rita.,neutral,surprise,surprise,neutral
En ik heb nog twee stemmen in de pot.,En ik heb nog twee stemmen in de pot.,And I have two more votes in the pot.,neutral,anticipation,happiness,neutral
De zesde stem.,De zesde stem.,The sixth voice.,neutral,anticipation,happiness,neutral
Christel.,Christel.,Christel.,neutral,neutral,neutral,neutral
Christel.,Christel.,Christel.,neutral,neutral,neutral,neutral
Ik kijk nog even naar de laatste stem.,Ik kijk nog even naar de laatste stem.,I'll just look at the last vote.,neutral,anticipation,happiness,neutral
"Ook voor jou, Christel.","Ook voor jou, Christel.","Also for you, Christel.",neutral,disappointment,sadness,sadness
En dat betekent dat jij naar huis moet.,En dat betekent dat jij naar huis moet.,And that means you have to go home.,neutral,sadness,sadness,sadness
"Ja, er moet iemand van dit team naar huis.","Ja, er moet iemand van dit team naar huis.","Yes, someone from this team needs to go home.",neutral,sadness,sadness,sadness
"En ik ben niet de sterkste, dus ja.","En ik ben niet de sterkste, dus ja.","And I'm not the strongest, so yeah.",neutral,disappointment,sadness,sadness
"Ik vind het gewoon super jammer, want ik had het heel graag willen meemaken.","Ik vind het gewoon super jammer, want ik had het heel graag willen meemaken.","I just think it's a shame, because I would have really liked to experience it.",sadness,disappointment,sadness,sadness
Net zoals mijn eerste expeditie natuurlijk ook gewoon alles meemogen maken.,Net zoals mijn eerste expeditie natuurlijk ook gewoon alles meemogen maken.,"Just like my first expedition, I was also able to experience everything.",neutral,nostalgia,sadness,neutral
"Dus ik had er heel veel zin in, maar het is ook oké.","Dus ik had er heel veel zin in, maar het is ook oké.","So I was really looking forward to it, but it's also okay.",neutral,disappointment,sadness,sadness
We gaan schijt nemen.,We gaan schijt nemen.,We're going to take a shit.,neutral,neutral,neutral,neutral
Rustig beginnen.,Rustig beginnen.,Start off quietly.,neutral,neutral,neutral,neutral
"Hé, Jan.","Hé, Jan.","Hey, Jan.",neutral,neutral,neutral,neutral
"Zet hem op, hè.","Zet hem op, hè.","Go for it, eh.",neutral,encouragement,happiness,happiness
No worries.,No worries.,No worries.,neutral,reassurance,neutral,neutral
"Als wij nu daar gaan staan, vragen we iemand om te pinnen voor ons.","Als wij nu daar gaan staan, vragen we iemand om te pinnen voor ons.","If we stand there now, we ask someone to pay the card for us.",neutral,neutral,neutral,neutral
Niemand helpt hier. Jawel.,Niemand helpt hier. Jawel.,Nobody helps here. Yes.,sadness,disappointment,sadness,sadness
Moet je eens. Dan weten ze toch dat wij het zijn.,Moet je eens. Dan weten ze toch dat wij het zijn.,You should. Then they know it's us.,neutral,fear,fear,neutral
"Ja, kom, dan gaan we pinnen.","Ja, kom, dan gaan we pinnen.","Yes, come on, let's go and pay by card.",neutral,neutral,neutral,neutral
Heel rustig pinnen. Doen als we genoeg gestresst zijn.,Heel rustig pinnen. Doen als we genoeg gestresst zijn.,Very quiet pinning. Do it when we are stressed enough.,anger,nervousness,fear,anger
"Kan jij pinnen, wacht ik hier.","Kan jij pinnen, wacht ik hier.","Can you pay by card, I will wait here.",neutral,neutral,neutral,neutral
Probeer zoveel mogelijk. Probeer maar eerst 200 of zo.,Probeer zoveel mogelijk. Probeer maar eerst 200 of zo.,Try as much as possible. Try 200 or so first.,neutral,neutral,neutral,neutral
SPANNENDE MUZIEK,SPANNENDE MUZIEK,EXCITING MUSIC,surprise,excitement,happiness,happiness
TELEFOON GAAT OVER,TELEFOON GAAT OVER,PHONE RINGING,surprise,surprise,surprise,surprise
"Met Lucie, ja.","Met Lucie, ja.","With Lucie, yes.",neutral,neutral,neutral,neutral
Kom maar 40 pinnen. Stond maar 50 euro op en ik kon geen ander bedrag doen.,Kom maar 40 pinnen. Stond maar 50 euro op en ik kon geen ander bedrag doen.,"Come on, 40 pins. There was only 50 euros left and I couldn't do any other amount.",sadness,disappointment,sadness,sadness
Je komt maar 50 euro pinnen? Ja. Niet.,Je komt maar 50 euro pinnen? Ja. Niet.,Are you only coming to withdraw 50 euros? Yes. Not.,surprise,confusion,sadness,surprise
"Spoed, pin hit, bijzonder, Shiva. Ja, waar?","Spoed, pin hit, bijzonder, Shiva. Ja, waar?","Urgent, pin hit, special, Shiva. Yes, true?",surprise,curiosity,neutral,neutral
"Zet je bril af, pet af.","Zet je bril af, pet af.","Zet je bril off, pet off.",anger,neutral,neutral,neutral
En je jas aan. Andere kleren.,En je jas aan. Andere kleren.,And your coat on. Different clothes.,anger,neutral,neutral,neutral
"Als ze hier in de buurt zijn, zijn we de lul, hè? Nee.","Als ze hier in de buurt zijn, zijn we de lul, hè? Nee.","If they're around here, we're screwed, right? No.",fear,fear,fear,fear
"We moeten nou gaan. Oké, dank je wel.","We moeten nou gaan. Oké, dank je wel.","We have to go now. Okay, thank you.",happiness,nervousness,fear,happiness
"Kijk. Ik stuur team 1 er direct heen, hoor.","Kijk. Ik stuur team 1 er direct heen, hoor.",Look. I'll send team 1 there immediately.,neutral,determination,neutral,neutral
We hebben een pin hit op Rotterdam Centraal.,We hebben een pin hit op Rotterdam Centraal.,We have a pin hit at Rotterdam Central Station.,neutral,realization,surprise,neutral
"ASAP die kant op over, exacte locatie volgen.","ASAP die kant op over, exacte locatie volgen.","ASAP over that way, follow exact location.",neutral,determination,neutral,neutral
Omdat Bijan en Shiva weten dat ze met hun pinactie een signaal hebben gegeven...,Omdat Bijan en Shiva weten dat ze met hun pinactie een signaal hebben gegeven...,Because Bijan and Shiva know that they have sent a signal with their pin action...,neutral,realization,surprise,neutral
willen ze hier zo snel mogelijk weg.,willen ze hier zo snel mogelijk weg.,they want to get out of here as quickly as possible.,neutral,fear,fear,neutral
In de hoop dat de hunters niet hun precieze bestemming kunnen achterhalen...,In de hoop dat de hunters niet hun precieze bestemming kunnen achterhalen...,In the hope that the hunters cannot determine their precise destination...,fear,hope,happiness,fear
mijden ze het service center en zetten ze koers naar de kaartautomaten.,mijden ze het service center en zetten ze koers naar de kaartautomaten.,they avoid the service center and head for the ticket machines.,neutral,nervousness,fear,neutral
Waar ga je kaartjes kopen dan? Kaartjes kopen?,Waar ga je kaartjes kopen dan? Kaartjes kopen?,Where are you going to buy tickets? Buy tickets?,surprise,confusion,sadness,surprise
Waar ga je kaartjes kopen?,Waar ga je kaartjes kopen?,Where are you going to buy tickets?,neutral,confusion,sadness,neutral
Hier kan geen geld in.,Hier kan geen geld in.,No money can go in here.,neutral,disappointment,sadness,neutral
Niet? Nee.,Niet? Nee.,Not? No.,neutral,disappointment,sadness,neutral
"We moeten hier nog weg, hè? Ja.","We moeten hier nog weg, hè? Ja.","We have to get out of here, right? Yes.",neutral,fear,fear,fear
"We kunnen ook in het wasbouw zitten. Ja, en dan?","We kunnen ook in het wasbouw zitten. Ja, en dan?","We can also be in the wash construction. Yes, and then?",neutral,confusion,sadness,neutral
Gewoon nu weg hier. Waar gaan we nou naartoe dan?,Gewoon nu weg hier. Waar gaan we nou naartoe dan?,Just get out of here now. Where are we going now?,neutral,fear,fear,fear
Weg dan. We hebben sowieso camera's.,Weg dan. We hebben sowieso camera's.,Then away. We have cameras anyway.,neutral,nervousness,fear,neutral
"Ja, daarom. Doe je tas naast je.","Ja, daarom. Doe je tas naast je.",Yes that's why. Put your bag next to you.,neutral,neutral,neutral,neutral
"Echt de lul, man.","Echt de lul, man.","Really screwed, man.",anger,fear,fear,fear
"Oké, go, go.","Oké, go, go.","Okay, go, go.",neutral,nervousness,fear,neutral
Let's go.,Let's go.,Let's go.,neutral,determination,neutral,neutral
Zullen we deze mensen vragen?,Zullen we deze mensen vragen?,Should we ask these people?,neutral,curiosity,neutral,neutral
Of we hier even binnen mogen zitten?,Of we hier even binnen mogen zitten?,Can we sit in here for a moment?,neutral,hope,happiness,neutral
Goedemiddag.,Goedemiddag.,Good afternoon.,neutral,neutral,neutral,neutral
We hebben een vraag.,We hebben een vraag.,We have a question.,neutral,curiosity,neutral,neutral
Zouden wij even binnen mogen?,Zouden wij even binnen mogen?,Could we come in for a moment?,neutral,hope,happiness,neutral
Even gaan schuilen?,Even gaan schuilen?,Going to hide for a while?,neutral,fear,fear,neutral
We zijn te vrucht.,We zijn te vrucht.,We are too fruitful.,neutral,neutral,neutral,neutral
We moeten heel even een plan bedenken wat we nu gaan doen.,We moeten heel even een plan bedenken wat we nu gaan doen.,We just need to come up with a plan for what we're going to do next.,neutral,determination,neutral,neutral
denken ze dat ze ongezien Rotterdam uitgekomen zijn.,denken ze dat ze ongezien Rotterdam uitgekomen zijn.,they think they got out of Rotterdam without being seen.,anger,optimism,happiness,neutral
Het nieuwste doel is Breda. Verder gaat hun plan niet.,Het nieuwste doel is Breda. Verder gaat hun plan niet.,The latest destination is Breda. Their plan goes no further.,anger,neutral,neutral,neutral
Naast het centrum heb je een rivierachtig...,Naast het centrum heb je een rivierachtig...,Next to the center you have a river-like...,neutral,neutral,neutral,neutral
en daar zitten allemaal studentenwoningen.,en daar zitten allemaal studentenwoningen.,and there are all kinds of student houses there.,neutral,neutral,neutral,neutral
Kunnen ze dat proberen?,Kunnen ze dat proberen?,Can they try that?,surprise,curiosity,neutral,neutral
Op het hoofdkwartier worden in deze zaak...,Op het hoofdkwartier worden in deze zaak...,At headquarters in this case...,neutral,neutral,neutral,neutral
de zojuist binnengekomen beveiligingsbeelden...,de zojuist binnengekomen beveiligingsbeelden...,the security footage that has just arrived...,neutral,curiosity,neutral,neutral
van Rotterdams centraal station geanalyseerd.,van Rotterdams centraal station geanalyseerd.,of Rotterdam central station analyzed.,neutral,neutral,neutral,neutral
"Ja, dit zijn ze.","Ja, dit zijn ze.","Yes, these are them.",happiness,realization,surprise,neutral
"Oké, waar gaan ze dan heen? Even kijken, hoor.","Oké, waar gaan ze dan heen? Even kijken, hoor.","Okay, so where are they going? Let's see.",neutral,curiosity,neutral,neutral
Check-in.,Check-in.,Check-in.,neutral,neutral,neutral,neutral
Welk spoor is dit? Spoor 4.,Welk spoor is dit? Spoor 4.,What track is this? Track 4.,neutral,neutral,neutral,neutral
Kijken. Meteen zoeken we welke trein er dan vertrekt.,Kijken. Meteen zoeken we welke trein er dan vertrekt.,To look. We immediately look for which train is leaving.,neutral,curiosity,neutral,neutral
Let's go.,Let's go.,Let's go.,neutral,neutral,neutral,neutral
Richting Breda. Dus zij zijn nu naar Breda toe.,Richting Breda. Dus zij zijn nu naar Breda toe.,Direction Breda. So they are now going to Breda.,surprise,realization,surprise,surprise
"Zoals we in Limburg zeggen, blot uit je pek vliegen.","Zoals we in Limburg zeggen, blot uit je pek vliegen.","As we say in Limburg, run wild.",happiness,amusement,happiness,happiness
"Hoeveel stations zitten er tussen, van Rotterdam naar Breda?","Hoeveel stations zitten er tussen, van Rotterdam naar Breda?","How many stations are there, from Rotterdam to Breda?",neutral,curiosity,neutral,neutral
"Eén, want dit is de intercity direct.","Eén, want dit is de intercity direct.","One, because this is the intercity direct.",neutral,neutral,neutral,neutral
Die gaat regelrecht van Rotterdam naar Breda. Dat is een kwartiertje.,Die gaat regelrecht van Rotterdam naar Breda. Dat is een kwartiertje.,It goes straight from Rotterdam to Breda. That's fifteen minutes.,neutral,neutral,neutral,neutral
"Wie hebben we nu in Rotterdam, jongens?","Wie hebben we nu in Rotterdam, jongens?","Who do we have in Rotterdam now, guys?",neutral,curiosity,neutral,neutral
Twee teams in Rotterdam. Ik denk één en twee.,Twee teams in Rotterdam. Ik denk één en twee.,Two teams in Rotterdam. I think one and two.,neutral,neutral,neutral,neutral
"Naar rechts? Ja, rechts. Even goedkijken.","Naar rechts? Ja, rechts. Even goedkijken.","To the right? Yes, right. Let's take a closer look.",happiness,curiosity,neutral,happiness
"Team 1, spoed.","Team 1, spoed.","Team 1, urgent.",neutral,nervousness,fear,neutral
"Team 1, richting Breda, centraal station.","Team 1, richting Breda, centraal station.","Team 1, direction Breda, central station.",neutral,neutral,neutral,neutral
"De trein komt om kwart voor zes aan in Breda, spoor 4.","De trein komt om kwart voor zes aan in Breda, spoor 4.","The train arrives in Breda at a quarter to six, track 4.",neutral,neutral,neutral,neutral
"Als zij beeldonderzoek doen, hebben ze ons zo gevonden.","Als zij beeldonderzoek doen, hebben ze ons zo gevonden.","If they do image research, they will find us quickly.",happiness,fear,fear,neutral
Daar hebben we wel genoeg mensen ons gezien.,Daar hebben we wel genoeg mensen ons gezien.,We saw enough people there.,anger,neutral,neutral,neutral
"Er is om 17.45 de trein aangekomen op spoor 4, station Breda.","Er is om 17.45 de trein aangekomen op spoor 4, station Breda.","The train arrived at platform 4, Breda station at 5.45 pm.",neutral,neutral,neutral,neutral
"Gaan we die boter toe of niet? Kan, wat jij wilt.","Gaan we die boter toe of niet? Kan, wat jij wilt.",Are we going to have that butter or not? Can do whatever you want.,neutral,neutral,neutral,neutral
"Wij gaan beelden aanvragen, maar hoogstwaarschijnlijk Breda uitgestapt.","Wij gaan beelden aanvragen, maar hoogstwaarschijnlijk Breda uitgestapt.","We are going to request images, but most likely we got out of Breda.",sadness,optimism,happiness,neutral
Dus zullen zij zich daar ergens in de omgeving bevinden?,Dus zullen zij zich daar ergens in de omgeving bevinden?,So they might be somewhere around there?,surprise,curiosity,neutral,neutral
"Dat is genomen, Marcel. Wij zijn onderweg naar Breda.","Dat is genomen, Marcel. Wij zijn onderweg naar Breda.","That's taken, Marcel. We are on our way to Breda.",happiness,neutral,neutral,neutral
We hebben een ITE van 45 minuten op Breda.,We hebben een ITE van 45 minuten op Breda.,We have a 45 minute ITE in Breda.,neutral,neutral,neutral,neutral
Goedemiddag. Goedemiddag.,Goedemiddag. Goedemiddag.,Good afternoon. Good afternoon.,happiness,neutral,neutral,neutral
We hebben een vraagje.,We hebben een vraagje.,We have a question.,neutral,neutral,neutral,neutral
Wij zijn op de vlucht en moeten een eigen slaapplek hebben.,Wij zijn op de vlucht en moeten een eigen slaapplek hebben.,We are on the run and need our own place to sleep.,neutral,fear,fear,neutral
Weeten jullie iemand? Of iemand die jullie kennen?,Weeten jullie iemand? Of iemand die jullie kennen?,Do you know anyone? Or someone you know?,neutral,curiosity,neutral,neutral
Maakt niet uit waar. Ik wil wel even voor je bellen.,Maakt niet uit waar. Ik wil wel even voor je bellen.,Doesn't matter where. I'd like to make a call for you.,happiness,caring,happiness,happiness
"We hebben zelf matrassen mee, dus we kunnen op de grond liggen.","We hebben zelf matrassen mee, dus we kunnen op de grond liggen.","We brought our own mattresses, so we can lie on the floor.",neutral,neutral,neutral,neutral
Ook studentenhuizen. We gaan tussen de blikken bier liggen.,Ook studentenhuizen. We gaan tussen de blikken bier liggen.,Also student houses. We lie down between the cans of beer.,anger,amusement,happiness,neutral
Gaan we regelen? Vinden we leuk.,Gaan we regelen? Vinden we leuk.,Are we going to arrange? We like that.,happiness,excitement,happiness,happiness
Jullie zijn echt tof. Je naam is?,Jullie zijn echt tof. Je naam is?,You guys are really cool. Your name is?,happiness,admiration,happiness,happiness
"We spreken hier even af, bij die bomen.","We spreken hier even af, bij die bomen.","We'll meet here, by those trees.",happiness,neutral,neutral,neutral
Kunnen we die boom met die V en daar aan de onderkant doen?,Kunnen we die boom met die V en daar aan de onderkant doen?,Can we do that tree with the V and there at the bottom?,neutral,curiosity,neutral,neutral
"Zeker, hè?","Zeker, hè?","Sure, huh?",surprise,confusion,sadness,sadness
Jullie weten dat niets zeker is in dit spel.,Jullie weten dat niets zeker is in dit spel.,You know that nothing is certain in this game.,neutral,realization,surprise,neutral
Zo kun je je afvragen waarom Bas-Ieri wel een koffer heeft.,Zo kun je je afvragen waarom Bas-Ieri wel een koffer heeft.,So you may wonder why Bas-Ieri has a suitcase.,neutral,curiosity,neutral,neutral
En de rest van jullie niet.,En de rest van jullie niet.,And the rest of you don't.,neutral,surprise,surprise,neutral
Een terechte vraag.,Een terechte vraag.,A fair question.,neutral,approval,happiness,neutral
"Ik ken het antwoord, maar dat vertel ik niet.","Ik ken het antwoord, maar dat vertel ik niet.","I know the answer, but I won't tell you.",neutral,amusement,happiness,neutral
GELACH,GELACH,LAUGHTER,happiness,amusement,happiness,happiness
Verrast het.,Verrast het.,Surprised it.,neutral,surprise,surprise,surprise
Ook deze keer is mijn experiment één grote mindfuck.,Ook deze keer is mijn experiment één grote mindfuck.,"This time too, my experiment is one big mind fuck.",surprise,surprise,surprise,surprise
Ik heb onmiddellijk een belangrijke mededeling voor jullie.,Ik heb onmiddellijk een belangrijke mededeling voor jullie.,I have an important announcement for you immediately.,neutral,curiosity,neutral,neutral
Dit jaar spelen jullie in duo.,Dit jaar spelen jullie in duo.,This year you will be playing in duo.,neutral,surprise,surprise,neutral
"O, die... O, mijn God.","Oh, die... Oh, mijn God.","Oh, that... Oh, my God.",surprise,surprise,surprise,surprise
Echt?,Echt?,Real?,surprise,confusion,sadness,surprise
Kapotgraag.,Kapotgraag.,Love to break.,neutral,desire,happiness,neutral
"O, shit.","O, shit.","O, shit.",surprise,disappointment,sadness,surprise
Duo.,Duo.,Duo.,neutral,neutral,neutral,neutral
O.,O.,O.,neutral,neutral,neutral,neutral
"Ja, waarom?","Ja, waarom?",Yes why?,surprise,confusion,sadness,sadness
Komen er nog meer mensen?,Komen er nog meer mensen?,Will more people come?,neutral,curiosity,neutral,neutral
"Nee, het is nu zes, toch? Dus twee, twee, twee.","Nee, het is nu zes, toch? Dus twee, twee, twee.","No, it's six now, right? So two, two, two.",neutral,realization,surprise,surprise
En daarna weer twee nieuwe.,En daarna weer twee nieuwe.,And then two new ones.,neutral,anticipation,happiness,neutral
MUZIEK,MUZIEK,MUSIC,neutral,neutral,neutral,neutral
"Maar dat blijft niet, want je moet elkaar toch...","Maar dat blijft niet, want je moet elkaar toch...","But that doesn't last, because you have to...",neutral,realization,surprise,neutral
Op het laatst moet je toch nomineren.,Op het laatst moet je toch nomineren.,At the end you have to nominate.,neutral,realization,surprise,neutral
"Met Games moet je waarschijnlijk... Denk ik, hoor.","Met Games moet je waarschijnlijk... Denk ik, hoor.",With Games you should probably... I think so.,neutral,confusion,sadness,neutral
"Maar ja, Big Brother heeft altijd verrassingen.","Maar ja, Big Brother heeft altijd verrassingen.","But hey, Big Brother always has surprises.",neutral,anticipation,happiness,happiness
Dus ik denk dat het met de koffer te maken heeft.,Dus ik denk dat het met de koffer te maken heeft.,So I think it has to do with the suitcase.,neutral,curiosity,neutral,neutral
"Ja, 100 procent.","Ja, 100 procent.","Yes, 100 percent.",neutral,certainty,neutral,neutral
"Ah, je hebt er geen. Ik heb er geen.","Ah, je hebt er geen. Ik heb er geen.","Ah, you don't have one. I do not have any.",neutral,disappointment,sadness,neutral
"Zou het? Ja, ik denk het.","Zou het? Ja, ik denk het.",Would it? Yeah I think so.,neutral,curiosity,neutral,neutral
GELACH,GELACH,LAUGHTER,happiness,amusement,happiness,happiness
GEJUICH EN APPLAUS,GEJUICH EN APPLAUS,CHEERS AND APPLAUSE,happiness,joy,happiness,happiness
"Ja, het is tijd voor nog een bewoner.","Ja, het is tijd voor nog een bewoner.","Yes, it's time for another resident.",neutral,anticipation,happiness,neutral
"Alleen, Big Brother heeft voor hem iets anders in gedachten...","Alleen, Big Brother heeft voor hem iets anders in gedachten...","Only, Big Brother has something else in mind for him...",neutral,curiosity,neutral,neutral
dan de mensen die je zojuist naar binnen hebt zien gaan.,dan de mensen die je zojuist naar binnen hebt zien gaan.,than the people you just saw going in.,neutral,neutral,neutral,neutral
"Wat dat is, daar gaat hij straks achterkomen.","Wat dat is, daar gaat hij straks achterkomen.",He will soon find out what that is.,neutral,anticipation,happiness,neutral
"Hij komt uit Eindhoven, Nederland.","Hij komt uit Eindhoven, Nederland.","He is from Eindhoven, Netherlands.",neutral,neutral,neutral,neutral
"Hij is 25 jaar, werkt als model en accountmanager.","Hij is 25 jaar, werkt als model en accountmanager.","He is 25 years old, works as a model and account manager.",neutral,neutral,neutral,neutral
"Hij sport graag, sterker nog.","Hij sport graag, sterker nog.","He likes sports, in fact.",neutral,neutral,neutral,neutral
Zijn wekker gaat elke dag om vijf uur af om lekker te gaan trainen.,Zijn wekker gaat elke dag om vijf uur af om lekker te gaan trainen.,His alarm goes off every day at five o'clock to start training.,neutral,admiration,happiness,neutral
Zijn vrienden van de turngroep noemen hem ook de stripper.,Zijn vrienden van de turngroep noemen hem ook de stripper.,His friends from the gymnastics group also call him the stripper.,neutral,amusement,happiness,neutral
Daar wilden wij alles over weten.,Daar wilden wij alles over weten.,We wanted to know everything about that.,neutral,curiosity,neutral,neutral
Hier is Dilano.,Hier is Dilano.,Hier is Dilano.,neutral,neutral,neutral,neutral
GEJUICH EN APPLAUS,GEJUICH EN APPLAUS,CHEERS AND APPLAUSE,happiness,joy,happiness,happiness
Zie je het? Hij mist wel eens.,Zie je het? Hij mist wel eens.,Do you see it? He misses sometimes.,surprise,disappointment,sadness,surprise
Hij is groot.,Hij is groot.,He is big.,neutral,neutral,neutral,neutral
Die zit hier.,Die zit hier.,It's here.,neutral,realization,surprise,neutral
"Ja, die zit hier.","Ja, die zit hier.","Yes, the quote here.",neutral,neutral,neutral,neutral
"Ja, die zit hier.","Ja, die zit hier.","Yes, the quote here.",neutral,neutral,neutral,neutral
