text,main_category,Emotion
"Yes, but ...",neutral,fear
"Miguel is surprising me,",surprise,anger
It is becoming great support for me.,happiness,sadness
"He tells me clear things, puts my feet on the ground",happiness,fear
And I think that is something that had not happened to anyone in this town.,surprise,sadness
It looks like Gypsy!,surprise,anger
The brushstroke spot!,neutral,anger
"Let me, that I dance as I want.",anger,disgust
Or that I dance like this.,neutral,disgust
That fills me with your skin!,happiness,anger
"¡Eh, eh, eh!",happiness,anger
"Don't we kiss today, right?",neutral,anger
"But neither to do love nor anything, huh?",sadness,fear
Do you think you and I are going to make love?,surprise,fear
Our first official time?,neutral,sadness
It is not our first time.,neutral,sadness
It is the perfect moment.,happiness,anger
"Until tomorrow, okay?",neutral,anger
"You, for life.",happiness,disgust
"You leave the little girl there, not see her.",anger,fear
We leave now!,anger,anger
Let's talk for a while.,neutral,sadness
"You, talk to him well and answer it, that I kill you.",anger,fear
I no longer jar.,sadness,fear
Now we go out and continue the party.,happiness,sadness
Let's see love.,happiness,anger
I want to see love.,happiness,fear
"Oh, my little boy.",happiness,anger
Did you hear me?,anger,surprise
Over the volume of music.,neutral,anger
I ran out of that!,sadness,surprise
And you know what I have?,anger,fear
"Marieta, welcome to your face to face with temptation.",neutral,anger
"How are you? A little nervous, but well.",fear,disgust
"I am not going to tell him that I am going from here with you,",sadness,surprise
"But I'm in love with you. I can't, uncle.",sadness,fear
"I am so bad, uncle.",sadness,fear
I do things when it is born.,neutral,disgust
"Before I was not born, now it is born.",surprise,disgust
Have you fought?,neutral,fear
"No, but the ruth starts with superpower.",neutral,disgust
I know that at maturity level I am well above.,neutral,fear
Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,neutral,happiness
"Is that with all the pain of my heart,",sadness,disgust
I can't forgive that.,anger,disgust
"¡Ay, tía!",surprise,neutral
"What disgust, aunt!",disgust,anger
"María, María, María.",neutral,neutral
